# OurTeam OppTeam Type OurPos OppPos GoalDiff 
1 6 control 0.526 0.472 -4
1 6 control 0.561 0.439 -2
1 6 control 0.518 0.482 -2
1 6 control 0.476 0.524 1
1 6 control 0.559 0.441 -1
1 6 control 0.569 0.431 -3
1 6 control 0.532 0.468 -3
1 6 control 0.496 0.504 -1
1 6 control 0.405 0.595 -1
1 6 control 0.469 0.530 1
1 6 control 0.468 0.532 -2
1 6 control 0.480 0.520 -7
1 6 control 0.437 0.563 1
1 6 control 0.539 0.460 -4
1 6 control 0.511 0.489 2
1 6 control 0.593 0.407 -4
1 6 control 0.483 0.517 -3
1 6 control 0.487 0.513 0
1 6 control 0.572 0.427 -5
1 6 control 0.538 0.462 -5
1 3 control 0.349 0.648 -6
1 3 control 0.395 0.605 -3
1 3 control 0.429 0.571 -3
1 3 control 0.481 0.519 -1
1 3 control 0.402 0.598 -4
1 3 control 0.474 0.526 -3
1 3 control 0.432 0.568 -5
1 3 control 0.405 0.595 -6
1 3 control 0.393 0.607 -5
1 3 control 0.451 0.549 -2
1 2 control 0.317 0.680 -11
1 2 control 0.404 0.596 -13
1 2 control 0.362 0.638 -8
1 2 control 0.356 0.644 -8
1 2 control 0.400 0.599 -3
1 2 control 0.366 0.634 -9
1 2 control 0.293 0.707 -11
1 2 control 0.317 0.683 -6
1 2 control 0.302 0.698 -7
1 2 control 0.305 0.695 -6
1 4 control 0.462 0.535 -4
1 4 control 0.492 0.508 -4
1 4 control 0.479 0.520 1
1 4 control 0.535 0.465 -1
1 4 control 0.513 0.487 3
1 4 control 0.501 0.499 0
1 4 control 0.533 0.467 -3
1 4 control 0.469 0.531 -2
1 4 control 0.473 0.527 -5
1 4 control 0.502 0.498 -4
1 6 exp1 0.525 0.473 -6
1 6 exp1 0.547 0.453 -7
1 6 exp1 0.434 0.566 -3
1 6 exp1 0.499 0.501 -12
1 6 exp1 0.549 0.451 -12
1 3 exp1 0.463 0.536 -7
1 3 exp1 0.447 0.552 -5
1 3 exp1 0.381 0.619 -14
1 3 exp1 0.406 0.593 -11
1 3 exp1 0.453 0.547 -9
1 2 exp1 0.304 0.695 -21
1 2 exp1 0.325 0.675 -20
1 2 exp1 0.323 0.676 -21
1 2 exp1 0.239 0.761 -24
1 2 exp1 0.310 0.690 -23
1 4 exp1 0.470 0.529 -14
1 4 exp1 0.388 0.612 -18
1 4 exp1 0.448 0.551 -11
1 4 exp1 0.485 0.515 -13
1 4 exp1 0.514 0.486 -15
