OurTeam,OppTeam,Type,OurPos,OppPos,GoalDiff,OurGoals,OppGoals 
jemv,jaeger,control,0.481,0.518,0,4,4
jemv,jaeger,control,0.414,0.585,-4,2,6
jemv,jaeger,control,0.461,0.539,-4,2,6
jemv,jaeger,control,0.453,0.547,-3,1,4
jemv,jaeger,control,0.466,0.534,-1,1,2
jemv,jaeger,control,0.497,0.503,-1,3,4
jemv,jaeger,control,0.495,0.505,-3,1,4
jemv,jaeger,control,0.457,0.543,1,3,2
jemv,jaeger,control,0.469,0.531,-5,0,5
jemv,jaeger,control,0.526,0.473,-4,1,5
jemv,jaeger,control,0.467,0.533,-4,2,6
jemv,jaeger,control,0.436,0.564,-7,2,9
jemv,jaeger,control,0.417,0.583,-4,0,4
jemv,jaeger,control,0.449,0.551,-3,0,3
jemv,jaeger,control,0.504,0.496,2,5,3
jemv,jaeger,control,0.438,0.561,-2,0,2
jemv,jaeger,control,0.494,0.506,1,2,1
jemv,jaeger,control,0.484,0.516,-2,3,5
jemv,jaeger,control,0.460,0.540,-2,1,3
jemv,jaeger,control,0.452,0.548,-3,1,4
jemv,jaeger,control,0.460,0.540,-3,0,3
jemv,jaeger,control,0.455,0.545,-1,1,2
jemv,jaeger,control,0.466,0.534,-3,1,4
jemv,jaeger,control,0.517,0.483,1,3,2
jemv,jaeger,control,0.495,0.504,-2,2,4
jemv,jaeger,control,0.510,0.490,2,4,2
jemv,jaeger,control,0.461,0.539,-1,1,2
jemv,jaeger,control,0.555,0.445,3,4,1
jemv,jaeger,control,0.514,0.485,1,3,2
jemv,jaeger,control,0.481,0.519,-6,0,6
jemv,jaeger,control,0.467,0.533,-3,0,3
jemv,jaeger,control,0.458,0.542,-5,2,7
jemv,jaeger,control,0.488,0.512,-2,1,3
jemv,jaeger,control,0.511,0.489,-1,3,4
jemv,jaeger,control,0.478,0.522,-5,1,6
jemv,jaeger,control,0.544,0.456,-2,1,3
jemv,jaeger,control,0.445,0.555,-6,2,8
jemv,jaeger,control,0.440,0.560,-2,2,4
jemv,jaeger,control,0.488,0.512,-6,0,6
jemv,jaeger,control,0.495,0.504,-1,3,4
jemv,jaeger,control,0.480,0.520,-3,0,3
jemv,jaeger,control,0.507,0.493,-2,2,4
jemv,jaeger,control,0.456,0.543,-9,1,10
jemv,jaeger,control,0.460,0.540,-1,1,2
jemv,jaeger,control,0.481,0.519,-3,1,4
jemv,jaeger,control,0.513,0.487,-1,3,4
jemv,jaeger,control,0.521,0.479,-1,1,2
jemv,jaeger,control,0.506,0.494,-3,4,7
jemv,jaeger,control,0.479,0.521,-4,1,5
jemv,jaeger,control,0.488,0.512,-5,1,6
jemv,hermes,control,0.389,0.608,-5,1,6
